Year,Month,Day,Hour,Device_ID,Module_Key,OAT
2017,May,18,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.85
2017,May,18,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.17
2017,May,18,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.52
2017,May,18,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.8
2017,May,18,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.11
2017,May,18,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.37
2017,May,18,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.42
2017,May,18,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.55
2017,May,18,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.62
2017,May,18,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.39
2017,May,18,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.99
2017,May,18,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.84
2017,May,18,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.38
2017,May,18,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.9
2017,May,19,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.64
2017,May,19,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.56
2017,May,19,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.21
